"The Catalogue of Principal Galaxies (PGC) Number","Common name","Right ascension (J2000)","Declination (J2000)","Galactic longitude","Galactic latitude","Log intrinsic K luminosity at group distance","Heliocentric velocity","Velocity in Local Sheet reference frame (Tully et al. 2008)","Measured distance for individual galaxy","Percent error in measured distance","PGC identification of brightest member of group","PGC identification of brightest member of association","Number of group members","Unweighted average group heliocentric velocity","Unweighted average group velocity in Local Sheet frame","Log group mass by scaling relation from intrinsic luminosity and M/L prescription","Log group mass from virial theorem with bi-weight dispersion and radius parameters","Supergalactic X","Supergalactic Y","Supergalactic Z"
100731,PGC100731,177.4260,-37.5416,289.6058,23.7275,8.78,2964,2680,0.00,0,36767,43296,4,3000,2715,12.408,11.695,-29.29,16.16,-13.72
100733,PGC100733,183.9905,-22.4253,292.2557,39.7099,8.48,2384,2146,0.00,0,100733,100733,1,2384,2146,10.746,,-19.93,19.20,-7.27
100744,PGC100744,41.9466,5.5889,167.9657,-46.8560,8.60,1519,1587,0.00,0,100744,100744,1,1519,1587,10.803,,12.45,-14.54,-9.02
100769,PGC100769,71.1955,28.2522,172.7971,-11.2850,10.07,3403,3469,0.00,0,86269,86269,2,3390,3456,12.638,10.250,36.88,-6.09,-27.07
100770,PGC100770,83.8391,32.1157,176.1326,-0.1862,9.64,2720,2767,0.00,0,100770,100770,1,2720,2767,11.377,,28.77,2.42,-22.97
100890,PGC100890,355.9867,-28.6501,23.1781,-75.0220,8.73,3460,3494,0.00,0,100890,100890,1,3460,3494,10.869,,-4.94,-45.94,5.96
101167,PGC101167,309.9828,-36.6865,5.8464,-36.7125,9.28,2744,2754,0.00,0,101167,65436,1,2744,2754,11.155,,-19.52,-24.24,19.49
101178,PGC101178,312.3987,-37.8777,4.6821,-38.7779,9.47,2684,2689,0.00,0,65436,65436,2,2698,2703,12.705,10.439,-19.04,-24.69,18.03
101213,PGC101213,319.4117,-47.7836,351.4847,-43.9361,9.46,2805,2758,0.00,0,101213,66318,1,2805,2758,11.260,,-21.93,-26.99,11.95
101241,PGC101241,335.1768,-47.4458,348.0609,-54.3147,9.17,1742,1695,0.00,0,101241,71001,1,1742,1695,11.097,,-11.34,-18.98,4.67
101243,PGC101243,335.5913,-37.0556,5.8875,-57.1400,8.73,2348,2358,0.00,0,101243,101243,1,2348,2358,10.869,,-11.30,-27.66,9.79
101304,"Dwingeloo 2",43.5352,59.0053,138.1636,-0.1890,8.55,94,325,0.00,0,9892,9892,8,105,341,12.690,11.930,3.44,-0.01,-0.05
101325,PGC101325,206.2344,-65.6810,308.4079,-3.3795,9.49,2776,2512,0.00,0,2800404,2800404,2,2772,2509,12.225,8.124,-32.99,-1.39,-5.39
101367,PGC101367,159.1563,-27.7169,269.7001,26.3189,9.74,3813,3525,0.00,0,31478,31478,185,3686,3399,14.422,14.497,-28.77,24.48,-29.06
101433,PGC101433,8.0129,18.0795,116.4609,-44.5485,8.28,2189,2405,0.00,0,101433,101433,1,2189,2405,10.643,,21.35,-23.26,5.63
101479,PGC101479,194.8055,34.9364,111.3697,82.0165,8.54,930,964,0.00,0,101479,41220,1,930,964,10.777,,1.60,12.57,2.18
101490,PGC101490,198.6963,34.8833,91.5707,80.7760,8.67,1049,1092,0.00,0,101490,41220,1,1049,1092,10.840,,1.63,14.10,3.25
101496,PGC101496,204.0952,39.7046,89.1954,74.3407,8.53,2452,2530,0.00,0,101496,49356,1,2452,2530,10.769,,6.07,31.54,10.32
101501,PGC101501,207.8794,39.4547,81.3482,72.4530,8.79,1806,1891,0.00,0,49356,49356,61,2408,2498,13.772,13.483,5.26,28.73,11.03
101513,PGC101513,216.2563,33.4312,55.9911,68.8891,8.99,3418,3500,0.00,0,101513,101513,1,3418,3500,11.004,,2.52,41.44,21.31
101521,PGC101521,220.5668,42.8304,75.1130,62.6032,8.59,2439,2570,0.00,0,101521,101521,1,2439,2570,10.800,,7.34,28.70,17.22
101536,PGC101536,242.7979,48.3345,75.6476,46.1726,9.26,2818,3021,0.00,0,101536,101536,1,2818,3021,11.146,,13.21,26.18,27.61
101540,PGC101540,248.6662,46.9604,73.0439,42.4256,8.66,2451,2664,0.00,0,101540,101540,1,2451,2664,10.834,,11.36,21.22,26.12
103015,PGC103015,56.9712,-42.0201,247.2155,-51.2559,8.41,1356,1185,0.00,0,103015,13418,1,1356,1185,10.708,,-3.36,-11.22,-10.60
103193,PGC103193,64.7817,-45.5852,251.4760,-45.2218,8.28,1406,1206,0.00,0,103193,13418,1,1406,1206,10.647,,-4.63,-10.21,-11.53
103224,PGC103224,61.9826,-44.7968,250.6743,-47.2724,8.73,3562,3371,0.00,0,103224,103224,1,3562,3371,10.868,,-12.07,-29.73,-31.47
103746,PGC103746,158.1175,-11.7265,257.4019,38.5641,8.61,2408,2166,0.00,0,103746,103746,1,2408,2166,10.810,,-11.30,20.05,-17.45
104518,PGC104518,179.2572,-12.5953,282.8144,48.1398,9.25,3027,2811,0.00,0,104518,37366,1,3027,2811,11.137,,-20.60,29.31,-11.03
104686,PGC104686,185.1692,-3.5334,288.1417,58.4522,8.48,3298,3129,0.00,0,104686,1070576,1,3298,3129,10.746,,-19.05,36.51,-6.68
104765,PGC104765,185.4321,-12.6658,291.7204,49.5581,7.91,1431,1228,0.00,0,104765,41220,1,1431,1228,10.461,,-9.57,12.89,-3.20
104868,PGC104868,192.2253,-11.6782,301.9411,51.1887,8.40,1335,1152,0.00,0,42407,41220,17,1196,1013,13.365,13.957,-6.94,9.11,-0.92
104973,PGC104973,196.6909,-12.3893,308.7973,50.3078,8.50,3341,3167,0.00,0,104973,45146,1,3341,3167,10.753,,-26.67,32.74,-0.42
105165,PGC105165,199.7147,-12.6021,313.3107,49.7162,8.90,2959,2792,0.00,0,46456,46247,7,2912,2746,12.982,12.403,-23.65,27.99,1.41
105180,PGC105180,200.4458,-12.5755,314.4037,49.6192,9.06,2663,2498,0.00,0,46456,46247,7,2912,2746,12.982,12.403,-23.47,27.61,1.83
105379,PGC105379,210.3546,-3.9709,334.1174,54.6077,9.28,3213,3113,0.00,0,105379,105379,2,3240,3140,11.260,10.644,-23.20,33.13,10.69
105906,PGC105906,221.2104,-12.6279,341.2601,41.6521,8.43,3021,2921,0.00,0,105906,53549,1,3021,2921,10.722,,-26.61,24.43,14.56
106003,PGC106003,228.2152,-11.7957,348.9857,38.1200,8.77,1898,1826,0.00,0,106003,106003,1,1898,1826,10.889,,-16.31,13.83,11.63
106235,PGC106235,321.9448,-38.7999,4.0551,-46.3044,8.69,2868,2871,0.00,0,106235,106235,1,2868,2871,10.848,,-18.14,-29.63,16.08
106349,PGC106349,323.2659,-41.4867,0.0933,-47.2415,9.01,2659,2648,0.00,0,106349,106349,1,2659,2648,11.013,,-17.61,-27.55,13.31
106403,PGC106403,322.6791,-41.6407,359.9049,-46.7942,8.34,2649,2637,0.00,0,106403,106349,1,2649,2637,10.675,,-17.74,-27.26,13.35
106802,PGC106802,338.0867,-41.6317,356.7919,-58.1399,8.84,2646,2630,0.00,0,106802,106802,1,2646,2630,10.926,,-14.30,-30.90,8.40
107206,PGC107206,348.4092,-41.9945,349.9221,-65.1224,8.31,1679,1652,0.00,0,71001,71001,13,1588,1558,13.207,12.356,-7.80,-20.37,2.75
107441,PGC107441,353.7945,-44.5704,339.1642,-66.8156,9.27,3172,3125,0.00,0,71730,72300,4,3145,3098,12.887,12.083,-13.60,-34.57,1.64
113395,PGC113395,159.5658,-3.9533,251.8140,45.2923,7.74,1469,1257,0.00,0,113395,113395,1,1469,1257,10.377,,-4.88,13.02,-9.36
115756,PGC115756,176.7038,-11.7686,278.8786,48.0621,8.11,1628,1410,0.00,0,36827,36827,5,1721,1507,12.207,12.068,-11.97,17.96,-7.59
115914,PGC115914,181.2880,-6.5247,282.8444,54.5318,8.22,2170,1981,0.00,0,115914,115914,1,2170,1981,10.614,,-12.63,22.34,-6.27
118097,PGC118097,199.9880,-12.7996,313.6654,49.4770,8.75,3057,2890,0.00,0,46456,46247,7,2912,2746,12.982,12.403,-23.86,27.98,1.54
125350,PGC125350,43.1020,-41.2757,250.4898,-61.4784,8.38,3590,3458,0.00,0,125350,125350,1,3590,3458,10.695,,-8.65,-38.04,-24.58
125516,PGC125516,154.3017,-3.4834,246.3161,41.8330,7.76,1228,1014,0.00,0,30041,27762,2,1243,1030,10.974,9.140,-4.98,15.25,-12.91
125728,PGC125728,170.1506,-2.7435,263.1278,52.9612,8.31,2522,2328,0.00,0,125728,125728,1,2522,2328,10.659,,-10.92,26.30,-12.35
125787,PGC125787,178.3089,-3.4091,275.9928,56.3878,7.76,1235,1052,0.00,0,125787,41220,1,1235,1052,10.386,,-5.83,12.18,-3.82
125831,PGC125831,178.7476,-5.9524,278.4325,54.2123,8.01,2500,2308,0.00,0,125831,37415,1,2500,2308,10.512,,-14.00,26.06,-8.49
126045,PGC126045,201.1110,-3.4730,318.7886,58.3790,8.31,2638,2511,0.00,0,126045,126045,1,2638,2511,10.658,,-17.55,28.29,3.57
126251,PGC126251,216.7070,-12.2056,336.4868,44.3629,8.14,2644,2531,0.00,0,126251,126251,1,2644,2531,10.575,,-22.80,22.58,10.45
126333,PGC126333,226.1891,-12.2683,346.6544,39.0305,8.43,2757,2675,0.00,0,126333,126333,1,2757,2675,10.722,,-24.16,20.83,15.94
126350,PGC126350,225.3718,-6.9365,350.4154,43.6256,8.23,1860,1797,0.00,0,53630,53932,6,1937,1874,12.584,12.670,-16.73,17.71,12.91
126394,PGC126394,229.0458,-11.7070,349.8346,37.6507,8.80,3049,2979,0.00,0,54491,54491,2,3069,3000,11.695,10.822,-26.70,22.40,19.57
126708,PGC126708,359.8093,-38.0145,344.8512,-74.5567,9.19,3201,3180,0.00,0,126708,126708,1,3201,3180,11.104,,-10.02,-41.19,0.68
126723,PGC126723,165.4125,30.6080,198.1244,65.7741,8.36,1680,1642,0.00,0,126723,32614,1,1680,1642,10.686,,4.39,20.71,-5.59
126724,PGC126724,180.4462,28.3603,203.6599,78.9500,7.76,842,814,0.00,0,126724,41220,1,842,814,10.386,,0.84,10.80,-0.72
127393,PGC127393,4.1504,-64.1936,309.1498,-52.5120,8.97,1745,1592,0.00,0,1335,1335,2,1757,1604,11.360,10.502,-12.87,-16.65,-3.71
127483,PGC127483,22.0932,-65.2708,296.7536,-51.4121,9.20,1645,1467,0.00,0,127483,127483,1,1645,1467,11.111,,-11.42,-14.72,-5.95
127548,PGC127548,49.1482,-67.1205,284.1610,-44.3482,7.55,495,276,0.00,0,12286,12286,3,482,264,11.127,10.121,-2.55,-2.77,-1.98
127623,PGC127623,325.7674,-63.8859,328.8813,-42.5427,9.66,3365,3233,0.00,0,67023,69713,8,3182,3049,13.190,12.999,-30.96,-29.51,3.08
127740,PGC127740,4.5979,-57.4035,311.6179,-59.1639,9.40,3603,3480,0.00,0,127740,127740,1,3603,3480,11.228,,-23.67,-39.33,-6.75
128060,PGC128060,71.3907,-59.2459,268.7874,-39.0085,9.36,1273,1032,0.00,0,15941,15941,5,1194,952,12.314,12.425,-6.58,-7.19,-8.30
128338,PGC128338,353.2266,-57.9241,321.6676,-56.2552,8.88,3154,3040,0.00,0,128338,71829,1,3154,3040,10.945,,-22.46,-33.68,-2.03
128341,PGC128341,348.2389,-58.1277,325.2111,-54.5328,8.91,3031,2920,0.00,0,128341,71564,1,3031,2920,10.960,,-22.38,-31.85,-0.43
128343,PGC128343,355.9173,-59.0584,318.4650,-55.9790,9.44,3184,3062,0.00,0,128343,128343,1,3184,3062,11.253,,-22.84,-33.68,-3.29
128393,PGC128393,2.1625,-53.9159,316.4320,-62.0765,9.14,3287,3183,0.00,0,128393,128393,1,3287,3183,11.076,,-19.87,-37.23,-4.45
128602,PGC128602,37.9813,-54.5513,276.0432,-57.0139,8.24,1411,1245,0.00,0,128602,128602,1,1411,1245,10.623,,-6.79,-13.18,-7.46
128614,PGC128614,39.8667,-55.9850,276.4739,-55.2388,8.38,1230,1056,0.00,0,128614,128614,1,1230,1056,10.695,,-6.07,-10.92,-6.50
128867,PGC128867,311.3071,-53.7315,344.3763,-38.2019,9.47,3258,3176,0.00,0,65256,65256,2,3249,3168,12.356,10.358,-29.58,-27.63,12.11
128909,PGC128909,312.9199,-57.2179,339.8128,-38.6632,9.47,3288,3188,0.00,0,65600,65600,4,3408,3309,12.882,12.140,-31.73,-28.74,10.00
129238,PGC129238,4.9857,-51.1477,314.7769,-65.2500,9.91,3336,3241,0.00,0,129238,1388,1,3336,3241,11.566,,-18.08,-38.91,-5.13
129301,PGC129301,13.0437,-51.6693,302.6568,-65.4585,9.33,3503,3393,0.00,0,129301,129301,1,3503,3393,11.185,,-18.18,-40.38,-9.27
129680,PGC129680,317.0204,-47.3283,352.3254,-42.3754,8.10,860,815,0.00,0,129680,129680,1,860,815,10.553,,-6.58,-7.79,3.77
129874,PGC129874,331.5007,-50.1084,345.3776,-51.1033,9.83,2725,2665,0.00,0,68020,68020,4,2808,2748,12.898,12.233,-21.41,-31.12,8.01
129923,PGC129923,334.6397,-48.2552,347.0023,-53.6839,9.51,2815,2765,0.00,0,129923,129923,1,2815,2765,11.292,,-18.98,-30.71,7.46
130364,PGC130364,59.9851,-46.7849,253.9292,-48.3270,8.60,986,794,0.00,0,14163,14391,4,1068,879,11.497,11.772,-3.45,-7.86,-7.81
130494,PGC130494,75.2661,-45.2472,250.6932,-37.8831,8.53,1150,926,0.00,0,130494,130494,1,1150,926,10.769,,-3.86,-6.55,-9.73
130620,PGC130620,324.9738,-42.6116,358.2696,-48.4139,8.95,2338,2321,0.00,0,67146,67146,4,2528,2510,12.591,12.480,-15.89,-25.06,11.07
130692,PGC130692,328.4842,-43.3084,356.6704,-50.8660,8.96,2530,2508,0.00,0,130692,67507,1,2530,2508,10.983,,-16.33,-27.25,10.43
130726,PGC130726,332.3541,-47.1036,349.6749,-52.6229,9.72,1792,1748,0.00,0,68165,71001,5,1596,1553,12.834,12.975,-11.26,-18.11,5.16
130762,PGC130762,335.9278,-45.8836,350.2876,-55.3451,7.81,843,805,0.00,0,68618,68618,2,879,840,11.097,11.076,-5.00,-8.92,2.27
130771,PGC130771,334.7038,-46.2174,350.2323,-54.4329,8.11,1207,1168,0.00,0,130771,130771,1,1207,1168,10.561,,-7.61,-13.13,3.49
130826,PGC130826,353.3791,-42.5779,343.6200,-67.8727,9.64,3163,3127,0.00,0,130826,71824,1,3163,3127,11.378,,-14.09,-39.15,2.65
130829,PGC130829,351.1676,-42.4674,346.3288,-66.6189,8.75,1666,1633,0.00,0,71001,71001,13,1588,1558,13.207,12.356,-7.63,-20.50,1.97
130903,PGC130903,2.7861,-38.9876,335.7301,-75.4642,8.98,3195,3164,0.00,0,130903,130903,1,3195,3164,10.997,,-10.05,-40.95,-1.18
131056,PGC131056,28.6236,-39.9947,261.5004,-71.6674,8.70,1272,1183,0.00,0,131056,131056,1,1272,1183,10.857,,-2.78,-14.43,-5.73
131167,PGC131167,47.7069,-41.7991,249.3472,-58.0402,8.58,1387,1242,0.00,0,131167,13418,1,1387,1242,10.796,,-3.28,-13.07,-9.63
131397,PGC131397,76.5579,-38.0544,241.8208,-36.2702,8.70,855,644,0.00,0,16779,16779,6,1024,814,12.606,12.127,-2.14,-5.34,-8.94
131595,PGC131595,328.9882,-39.7707,2.1999,-51.7053,9.05,2249,2247,0.00,0,131595,131595,1,2249,2247,11.033,,-13.17,-24.81,10.42
131704,PGC131704,337.3791,-41.2620,357.7272,-57.7258,8.69,1987,1973,0.00,0,131704,71001,1,1987,1973,10.849,,-10.71,-23.11,6.59
131705,PGC131705,336.0675,-41.3533,358.0075,-56.7481,8.73,3179,3166,0.00,0,131705,131705,1,3179,3166,10.870,,-17.57,-36.75,11.10
131728,PGC131728,343.9579,-39.5068,358.2335,-63.0281,8.66,2121,2112,0.00,0,69994,69994,5,1900,1890,12.922,12.723,-15.22,-40.74,8.73
131842,PGC131842,3.5345,-35.6134,343.7609,-78.3765,8.86,3267,3252,0.00,0,131842,131842,1,3267,3252,10.937,,-7.83,-42.64,-0.82
132188,PGC132188,63.2442,-34.4881,235.5312,-46.5469,9.84,3274,3111,0.00,0,132188,132188,1,3274,3111,11.513,,-4.05,-26.82,-31.38
132225,PGC132225,58.9438,-36.2620,237.9759,-50.1246,8.73,1778,1621,0.00,0,132225,13418,1,1778,1621,10.870,,-2.55,-14.99,-15.36
132228,PGC132228,69.0478,-32.6274,233.7569,-41.5250,8.01,1129,954,0.00,0,132228,132228,1,1129,954,10.509,,-1.06,-7.34,-10.33
132391,PGC132391,319.3963,-36.5598,7.1251,-44.2029,9.15,2680,2695,0.00,0,132391,66648,1,2680,2695,11.083,,-16.64,-27.06,16.78
132399,PGC132399,317.4393,-36.7233,6.7312,-42.6503,8.93,2642,2655,0.00,0,132399,132399,1,2642,2655,10.972,,-16.96,-26.01,17.00
132410,PGC132410,327.7117,-33.5596,12.1665,-50.8170,9.42,2621,2653,0.00,0,132410,67883,1,2621,2653,11.238,,-12.89,-29.26,15.13
132448,PGC132448,322.6246,-34.7111,10.0227,-46.6869,9.27,2679,2705,0.00,0,132448,66767,1,2679,2705,11.149,,-15.01,-28.25,16.66
132468,PGC132468,331.8553,-33.3811,12.6626,-54.2647,9.43,2659,2691,0.00,0,132468,67883,1,2659,2691,11.246,,-11.93,-30.84,13.92
132480,ESO404-033,332.1322,-34.2850,11.1131,-54.5009,9.25,2596,2623,0.00,0,132480,67883,1,2596,2623,11.140,,-12.01,-30.10,13.14
132485,PGC132485,329.8137,-33.8811,11.7590,-52.5766,9.42,2921,2951,0.00,0,132485,132485,1,2921,2951,11.238,,-13.93,-33.20,15.88
132490,PGC132490,333.3293,-35.9795,8.1069,-55.4238,9.57,3052,3069,0.00,0,132490,68455,2,3072,3090,11.462,10.641,-14.79,-35.68,14.25
132565,PGC132565,345.3126,-35.7339,5.8938,-65.0723,8.83,2126,2136,0.00,0,70090,70090,16,1890,1899,13.236,13.486,-6.90,-23.15,5.29
132595,PGC132595,344.2955,-36.6694,4.1967,-64.0634,9.07,1891,1897,0.00,0,70090,70090,16,1890,1899,13.236,13.486,-7.31,-22.67,5.32
132632,PGC132632,345.8044,-35.4044,6.4600,-65.5335,8.65,2129,2140,0.00,0,132632,132632,1,2129,2140,10.829,,-7.74,-26.80,6.02
132768,PGC132768,5.7675,-27.9270,24.0617,-83.6613,8.73,1517,1536,0.00,0,132768,1851,1,1517,1536,10.870,,-0.90,-20.46,-0.18
132962,PGC132962,36.8449,-29.6263,225.3509,-68.7875,9.12,1686,1618,0.00,0,132962,132962,1,1686,1618,11.068,,0.27,-19.13,-9.97
133036,PGC133036,52.0106,-28.2781,224.1449,-55.4699,8.53,1814,1706,0.00,0,133036,13418,1,1814,1706,10.770,,0.72,-17.21,-14.86
133062,PGC133062,52.6688,-31.9338,230.6397,-55.2243,8.20,1417,1293,0.00,0,12923,13418,9,1238,1117,12.427,12.769,-0.64,-14.86,-12.94
133346,PGC133346,331.3380,-31.9996,14.9842,-53.7770,10.07,2400,2440,0.00,0,67883,67883,30,2598,2638,13.473,13.248,-10.65,-28.83,13.70
133362,PGC133362,334.4216,-27.3653,23.4814,-55.9653,9.39,2585,2649,0.00,0,133362,68583,2,2581,2645,11.248,8.610,-8.00,-31.04,14.72
133411,PGC133411,332.2740,-31.7949,15.4088,-54.5590,9.51,2380,2421,0.00,0,133411,67883,1,2380,2421,11.297,,-9.91,-27.89,12.89
133414,PGC133414,341.1306,-28.2622,23.1553,-61.9634,8.92,2533,2588,0.00,0,133414,133414,1,2533,2588,10.963,,-6.65,-31.90,11.35
133419,PGC133419,339.2659,-28.3869,22.5743,-60.3414,8.87,2949,3004,0.00,0,133419,133419,1,2949,3004,10.938,,-8.31,-36.57,14.05
133436,PGC133436,338.0276,-29.5605,20.0631,-59.3611,8.94,2815,2865,0.00,0,133436,69053,1,2815,2865,10.977,,-8.93,-34.57,13.57
133535,PGC133535,350.5543,-31.8282,13.9492,-70.0613,8.92,1719,1744,0.00,0,133535,71001,1,1719,1744,10.964,,-4.37,-22.45,4.17
133577,PGC133577,355.7824,-32.0202,10.5906,-74.3842,9.25,2965,2982,0.00,0,133577,133577,1,2965,2982,11.143,,-6.41,-39.00,4.30
133627,PGC133627,358.6678,-25.4885,37.0806,-77.1802,9.44,3024,3070,0.00,0,72799,72799,3,3062,3108,11.642,10.950,-1.64,-41.11,4.54
133643,PGC133643,358.3965,-26.3495,33.0962,-77.0673,8.65,3006,3048,0.00,0,133643,72933,2,3016,3058,10.952,10.212,-2.25,-40.46,4.41
133663,PGC133663,3.9621,-22.9197,58.5582,-80.9094,9.56,3150,3199,0.00,0,133663,133663,1,3150,3199,11.324,,1.30,-42.59,1.93
133776,PGC133776,22.5495,-22.7626,188.6189,-80.1939,8.85,1547,1551,0.00,0,5619,5849,2,1587,1592,11.967,10.802,2.00,-18.08,-4.51
133948,PGC133948,47.0014,-23.3143,213.5607,-58.9725,8.30,1569,1497,0.00,0,133948,13418,1,1569,1497,10.655,,2.45,-15.90,-11.81
134011,PGC134011,50.3297,-24.7696,217.5144,-56.3477,9.29,1805,1716,0.00,0,134011,13418,1,1805,1716,11.161,,2.17,-17.56,-14.51
134015,PGC134015,49.6704,-25.7578,219.0628,-57.1292,9.18,1678,1587,0.00,0,12431,13418,5,1682,1590,12.484,12.281,1.75,-17.36,-14.02
134080,PGC134080,52.8651,-25.6198,219.8073,-54.2777,9.35,2005,1904,0.00,0,134080,13505,1,2005,1904,11.196,,1.95,-18.87,-16.87
134094,PGC134094,63.6561,-22.8066,219.2663,-44.0517,9.09,2193,2069,0.00,0,134094,13505,1,2193,2069,11.049,,2.79,-16.90,-21.62
134154,PGC134154,69.0448,-26.9471,226.3805,-40.4019,8.92,2125,1969,0.00,0,134154,134154,1,2125,1969,10.964,,0.34,-14.71,-21.74
134349,PGC134349,332.3454,-25.4181,26.2347,-53.7874,9.69,2546,2621,0.00,0,134349,68583,3,2590,2666,11.442,11.303,-7.56,-30.61,16.28
134360,PGC134360,328.8336,-25.0029,25.7804,-50.5954,8.81,2469,2548,0.00,0,134360,134360,1,2469,2548,10.912,,-7.94,-28.30,17.04
134459,PGC134459,341.2409,-23.7081,32.6552,-61.3130,9.85,3335,3414,0.00,0,69638,69638,4,3299,3378,12.496,12.394,-5.50,-41.62,16.45
134460,PGC134460,341.0818,-23.3914,33.2210,-61.0956,9.49,3165,3245,0.00,0,69638,69638,4,3299,3378,12.496,12.394,-5.30,-41.35,16.58
134530,PGC134530,350.5743,-23.5522,38.0525,-69.5726,8.21,1618,1687,0.00,0,134530,134530,1,1618,1687,10.611,,-1.27,-21.80,5.38
134641,PGC134641,1.1337,-22.0839,55.7183,-78.2138,9.34,3081,3139,0.00,0,134641,134641,2,3114,3172,11.301,11.365,1.25,-42.05,3.93
134939,PGC134939,43.5837,-18.5407,202.5622,-60.4993,9.20,2659,2618,0.00,0,134939,11638,1,2659,2618,11.111,,7.21,-28.48,-18.85
135027,PGC135027,46.5750,-21.5022,209.9749,-58.8601,8.53,1335,1272,0.00,0,135027,13418,1,1335,1272,10.771,,2.62,-13.51,-9.92
135044,PGC135044,55.4577,-19.5812,211.3176,-50.3599,8.34,1914,1829,0.00,0,13505,13505,29,1670,1589,13.364,13.724,4.94,-19.53,-19.43
135045,PGC135045,54.2366,-20.5898,212.2546,-51.7692,9.06,1688,1603,0.00,0,13324,13418,2,1728,1643,11.702,11.286,3.53,-15.63,-14.87
135066,PGC135066,53.9749,-22.1396,214.5498,-52.4584,8.99,1373,1283,0.00,0,13419,13418,29,1681,1585,13.326,13.246,2.67,-14.29,-13.40
135067,PGC135067,53.9387,-21.7830,213.9731,-52.3900,8.67,1637,1548,0.00,0,13419,13418,29,1681,1585,13.326,13.246,2.84,-14.53,-13.63
135072,PGC135072,51.6306,-21.2167,212.0164,-54.2789,9.40,1884,1805,0.00,0,12838,13418,19,1563,1482,13.064,13.207,3.30,-15.91,-13.86
135085,PGC135085,58.1750,-18.7550,211.4453,-47.6649,9.08,1878,1787,0.00,0,135085,135085,1,1878,1787,11.049,,4.40,-15.81,-17.28
135097,PGC135097,56.0108,-18.4724,209.9728,-49.4919,9.19,1979,1897,0.00,0,13505,13505,29,1670,1589,13.364,13.724,5.45,-19.31,-19.65
135126,PGC135126,63.4314,-17.4935,212.2572,-42.5447,9.60,1997,1894,0.00,0,135126,135126,1,1997,1894,11.350,,4.85,-15.00,-19.73
135136,PGC135136,64.5194,-21.7946,218.2502,-42.9938,9.23,3586,3463,0.00,0,135136,135136,1,3586,3463,11.130,,5.35,-27.63,-36.61
135162,PGC135162,67.6941,-20.6070,217.9674,-39.8117,8.26,1626,1497,0.00,0,135162,15850,1,1626,1497,10.633,,2.50,-11.04,-16.44
135393,PGC135393,346.8453,-19.0736,46.0314,-64.8121,9.13,3289,3386,0.00,0,135393,135393,1,3289,3386,11.076,,-0.45,-42.72,14.59
135398,PGC135398,345.5991,-21.3535,40.0734,-64.5370,8.72,1974,2061,0.00,0,135398,135398,1,1974,2061,10.866,,-1.50,-25.95,8.92
135455,PGC135455,342.1318,-39.1822,359.8050,-61.7751,8.85,2762,2756,0.00,0,135455,69661,1,2762,2756,10.928,,-12.83,-33.47,8.09
135466,PGC135466,343.2106,-37.3489,3.1667,-63.0624,8.74,1539,1542,0.00,0,135466,71001,1,1539,1542,10.841,,-6.50,-18.95,4.62
135491,PGC135491,346.1121,-39.1223,357.8020,-64.7278,8.77,1311,1302,0.00,0,135491,135491,1,1311,1302,10.891,,-5.64,-16.13,3.05
135597,PGC135597,342.1370,-39.9531,358.2463,-61.5583,8.65,2381,2371,0.00,0,135597,135597,1,2381,2371,10.829,,-11.39,-28.71,6.73
135618,PGC135618,7.9384,2.7157,113.1299,-59.7809,8.19,2380,2539,0.00,0,1970,1970,2,2377,2535,11.100,9.312,18.35,-35.26,4.41
135639,PGC135639,22.6211,2.8320,141.8962,-58.5947,8.83,2113,2233,0.00,0,135639,4946,2,2107,2226,11.037,9.398,15.42,-25.05,-4.00
135659,PGC135659,40.7940,-0.2628,172.5264,-52.0337,8.77,966,1013,0.00,0,10266,10266,9,1191,1243,13.301,13.013,7.82,-11.57,-6.82
135667,PGC135667,42.2841,1.9651,171.8897,-49.3840,8.85,2934,2986,0.00,0,135667,135667,1,2934,2986,10.931,,21.35,-28.42,-17.92
135681,PGC135681,54.7313,2.3775,183.5061,-40.0334,9.06,3148,3159,0.00,0,135681,135681,1,3148,3159,11.037,,22.35,-24.37,-26.09
135684,PGC135684,55.4352,-2.0024,188.6895,-42.1370,9.91,3422,3411,0.00,0,135684,135684,1,3422,3411,11.569,,21.08,-27.43,-29.53
135713,PGC135713,63.6176,2.8449,189.6860,-32.6616,9.17,3445,3426,0.00,0,14718,14718,2,3391,3372,11.789,11.471,24.90,-22.41,-34.91
135728,PGC135728,147.9110,0.3694,237.0969,39.2577,8.08,1897,1697,0.00,0,135728,27762,1,1897,1697,10.545,,-2.96,16.13,-15.59
135729,PGC135729,148.4964,2.0048,235.7961,40.6802,7.73,1756,1563,0.00,0,4614922,27762,2,1777,1584,10.652,10.428,-2.34,15.41,-14.21
135730,PGC135730,148.5186,1.5398,236.3141,40.4314,6.50,1375,1180,0.00,0,28517,27762,2,1332,1137,11.646,10.851,-2.45,15.03,-13.97
135732,PGC135732,149.6220,1.6936,236.9939,41.4196,8.10,1815,1621,0.00,0,135732,27762,1,1815,1621,10.556,,-2.71,15.97,-14.31
135733,PGC135733,149.6951,2.3471,236.3375,41.8576,7.75,1729,1538,0.00,0,135733,27762,1,1729,1538,10.380,,-2.38,15.26,-13.49
135765,PGC135765,161.6429,1.7744,247.8944,50.7946,7.38,1018,832,0.00,0,32153,41220,2,1007,821,11.124,9.566,-3.91,14.73,-8.87
